1234,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6
1,4.5520139,1,1,1,1,1,1,1,1,1,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['2', '2', '2', '4', '4', '3']","[7.077982099988731, 7.373946499981685, 7.654420899983961, 11.045988300000317, 11.278051999979652, 11.629996000003302]",1,6,# # # # # #,None
2,0,2,2,2,2,2,2,2,2,2,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6
3,3.2240328,3,3,3,3,3,3,3,3,3,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[18.654032499995083, 19.87775970000075, 20.25389969997923, 21.55794440000318, 21.749849899992114, 21.878065299999435]",1,6,# # # # # #,None
4,0,4,4,4,4,4,4,4,4,4,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6
5,1.0878168,5,5,5,5,5,5,5,5,5,3,TRUE,0.5,acc,right,TRUE,2,1,1,ret,1,1,0,"['1', '2', '1', '1', '1', '3']","[30.582147999986773, 30.710534199984977, 30.822369500005152, 31.093922800006112, 31.549978199996985, 31.66996480000671]",1,6,# # # # # #,None
6,0,6,6,6,6,6,6,6,6,6,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4
7,2.079932,7,7,7,7,7,7,7,7,7,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '3', '4', '1', '4', '4']","[41.53394649998518, 42.10991939998348, 42.58197529998142, 42.92590959998779, 43.38986679998925, 43.613878499978455]",1,6,# # # # # #,None
8,0,8,8,8,8,8,8,8,8,8,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4
9,5.4239892,9,9,9,9,9,9,9,9,9,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,0,"['4', '1', '3', '3', '4', '1']","[54.42991909998818, 55.23774660000345, 57.67774250000366, 57.91813209999236, 59.67787439998938, 59.85390829999233]",1,6,# # # # # #,None
