,Tn,MT,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur,P1,P2,P3,P4,P5,P6,IPI_0,IPI_1,IPI_2,IPI_3,IPI_4,IPI_5
0,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,2 2 2 4 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,15.294683899963276,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['2', '2', '3', '4', '4', '3']","[2.031934199971147, 11.774896999937482, 15.17472559993621, 16.934746799990535, 17.29473910003435, 17.32661809993442]",1,6,# # # # # #,None,2.031934199971147,11.774896999937482,15.17472559993621,16.934746799990535,17.29473910003435,17.32661809993442,-4.468065800028853,9.742962799966335,3.3998285999987274,1.7600212000543252,0.3599923000438139,0.03187899990007281
2,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 3 1 3 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,1.8881319999927653,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['1', '3', '1', '3', '1', '2']","[23.4227155999979, 23.718815400032327, 24.070666100014932, 24.72669839998707, 25.038781499955803, 25.310847599990666]",1,6,# # # # # #,None,23.4227155999979,23.718815400032327,24.070666100014932,24.72669839998707,25.038781499955803,25.310847599990666,-0.40390249993652105,0.29609980003442615,0.3518506999826059,0.6560322999721393,0.3120830999687314,0.27206610003486276
4,4,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 4 3 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,5,13.19229749997612,3,True,0.5,acc,right,True,2,1,3,ret,1,3,0,"['4', '1', '4', '4', '1', '4']","[31.670665999990888, 32.054680999950506, 42.3986428999342, 43.86265699996147, 44.57469989999663, 44.86296349996701]",1,6,# # # # # #,None,31.670665999990888,32.054680999950506,42.3986428999342,43.86265699996147,44.57469989999663,44.86296349996701,-0.14018159999977797,0.38401499995961785,10.343961899983697,1.4640141000272706,0.7120429000351578,0.288263599970378
6,6,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 4 1 4 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,7.336101699969731,2,True,0.5,acc,right,True,2,1,3,ret,1,3,1,"['3', '4', '1', '1', '4', '4']","[57.83070749999024, 58.366577000007965, 62.05480409995653, 63.40668659994844, 64.99064209999051, 65.16680919995997]",1,6,# # # # # #,None,57.83070749999024,58.366577000007965,62.05480409995653,63.40668659994844,64.99064209999051,65.16680919995997,6.467744000023231,0.5358695000177249,3.6882270999485627,1.3518824999919161,1.583955500042066,0.17616709996946156
8,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 3 3 1 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,3.3839963000500566,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '1', '3', '3', '1', '4']","[74.23064249998424, 74.63077980000526, 75.67065189999994, 76.0945887999842, 77.47859069996048, 77.6146388000343]",1,6,# # # # # #,None,74.23064249998424,74.63077980000526,75.67065189999994,76.0945887999842,77.47859069996048,77.6146388000343,2.563833300024271,0.4001373000210151,1.0398720999946818,0.42393689998425543,1.3840018999762833,0.13604810007382184
10,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 3 4 2 2 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
11,11,3.920187499956228,2,True,0.5,acc,right,True,2,1,4,ret,1,4,0,"['2', '2', '4', '2', '3', '1']","[86.18256520002615, 86.46261529996991, 87.62267760001123, 87.93464989995118, 89.93467620003503, 90.10275269998237]",1,6,# # # # # #,None,86.18256520002615,86.46261529996991,87.62267760001123,87.93464989995118,89.93467620003503,90.10275269998237,2.0679263999918476,0.2800500999437645,1.160062300041318,0.3119722999399528,2.000026300083846,0.16807649994734675
12,12,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 1 1 1 4 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13,13,5.111882999888621,3,True,0.5,acc,right,True,2,1,2,ret,1,2,0,"['4', '4', '3', '3', '1', '1']","[98.79064310004469, 99.87060539994854, 100.63860489998478, 102.81463719997555, 103.47066899994388, 103.90252609993331]",1,6,# # # # # #,None,98.79064310004469,99.87060539994854,100.63860489998478,102.81463719997555,103.47066899994388,103.90252609993331,2.187890400062315,1.0799622999038547,0.7679995000362396,2.1760322999907658,0.656031799968332,0.4318570999894291
14,14,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,1 2 3 4 3 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,15,3.8644405000377446,2,True,0.5,acc,right,True,2,1,4,ret,1,4,1,"['1', '2', '2', '2', '3', '1']","[112.63060989999212, 112.76659799995832, 113.85462180001196, 114.63060509995557, 116.37452009995468, 116.49505040002987]",1,6,# # # # # #,None,112.63060989999212,112.76659799995832,113.85462180001196,114.63060509995557,116.37452009995468,116.49505040002987,2.228083800058812,0.1359880999661982,1.0880238000536337,0.7759832999436185,1.743914999999106,0.12053030007518828
16,0,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 2 2 1 1 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
17,1,2.2240979000926018,3,True,0.5,acc,right,True,2,1,5,ret,1,5,1,"['4', '2', '2', '1', '2', '2']","[4.651208499912173, 5.315157199976966, 5.659163199947216, 6.0432123999344185, 6.627110600005835, 6.875306400004774]",1,6,# # # # # #,None,4.651208499912173,5.315157199976966,5.659163199947216,6.0432123999344185,6.627110600005835,6.875306400004774,NaN,0.6639487000647932,0.34400599997024983,0.3840491999872029,0.5838982000714168,0.24819579999893904
18,2,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,3 3 2 2 3 3,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
19,3,1.9039345000637693,3,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['3', '3', '2', '2', '3', '3']","[13.59523629990872, 13.8677589999279, 14.147102099959739, 14.859180399915203, 15.283182099927217, 15.49917079997249]",1,6,# # # # # #,None,13.59523629990872,13.8677589999279,14.147102099959739,14.859180399915203,15.283182099927217,15.49917079997249,0.21992989990394562,0.2725227000191808,0.2793431000318378,0.7120782999554649,0.4240017000120133,0.2159887000452727
20,4,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,1 4 4 2 2 1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
21,5,2.3039522999897595,2,True,0.5,acc,right,True,2,1,5,ret,1,5,0,"['1', '2', '2', '4', '4', '2']","[24.507192399934866, 24.787174199940637, 25.5071111000143, 25.795210400014184, 26.499114700010978, 26.811144699924625]",1,6,# # # # # #,None,24.507192399934866,24.787174199940637,25.5071111000143,25.795210400014184,26.499114700010978,26.811144699924625,2.508021599962376,0.2799818000057712,0.7199369000736624,0.28809929999988526,0.7039042999967933,0.31202999991364777
22,6,0.0,3,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,2 3 3 2 4 1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
23,7,4.776017800089903,3,True,0.5,acc,right,True,2,1,1,ret,1,1,0,"['1', '2', '3', '4', '1', '1']","[33.10717879992444, 33.5564400999574, 34.203480599913746, 37.07515129994135, 37.57107999990694, 37.883196600014344]",1,6,# # # # # #,None,33.10717879992444,33.5564400999574,34.203480599913746,37.07515129994135,37.57107999990694,37.883196600014344,-0.20396590000018477,0.4492613000329584,0.647040499956347,2.8716707000276074,0.49592869996558875,0.3121166001074016
24,8,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,0,[],[],1,6,4 3 2 1 3 4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
25,9,3.0239708999870345,2,True,0.5,acc,right,False,2,1,6,ret,1,10,0,"['4', '3', '1', '2', '3', '4']","[47.419177499949, 47.475792499957606, 48.827145599992946, 48.92299390002154, 50.29912239999976, 50.443148399936035]",1,6,# # # # # #,None,47.419177499949,47.475792499957606,48.827145599992946,48.92299390002154,50.29912239999976,50.443148399936035,3.035980899934657,0.05661500000860542,1.3513531000353396,0.09584830002859235,1.376128499978222,0.14402599993627518
26,10,0.0,2,False,0.0,None,right,False,2,1,0,enc,0,0,1,[],[],1,6,4 3 3 1 1 2,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
27,11,2.2960378000279893,2,True,0.5,acc,right,False,2,1,6,ret,1,10,1,"['4', '3', '3', '1', '1', '2']","[59.67511439998634, 60.21245649992488, 60.76317809999455, 61.24304869992193, 61.62714120000601, 61.97115220001433]",1,6,# # # # # #,None,59.67511439998634,60.21245649992488,60.76317809999455,61.24304869992193,61.62714120000601,61.97115220001433,2.7319660000503063,0.5373420999385417,0.5507216000696644,0.4798705999273807,0.3840925000840798,0.3440110000083223
