,hand,trial_dur,iti_dur,run_number,phase_type,phase,display_trial_feedback,feedback_dur,feedback_type,chunk,recall_dir,seq_chunked
0,right,6,1,4,0,enc,False,0.0,None,3,0,332 432
1,right,None,1,4,1,ret,True,0.5,acc,3,0,*** ***
2,right,6,1,4,0,enc,False,0.0,None,2,1,41 11 14
3,right,None,1,4,1,ret,True,0.5,acc,2,1,** ** **
4,right,6,1,4,0,enc,False,0.0,None,3,0,324 432
5,right,None,1,4,1,ret,True,0.5,acc,3,0,*** ***
6,right,6,1,4,0,enc,False,0.0,None,2,0,11 22 23
7,right,None,1,4,1,ret,True,0.5,acc,2,0,** ** **
8,right,6,1,4,0,enc,False,0.0,None,3,0,143 311
9,right,None,1,4,1,ret,True,0.5,acc,3,0,*** ***
10,right,6,1,4,0,enc,False,0.0,None,2,0,42 31 11
11,right,None,1,4,1,ret,True,0.5,acc,2,0,** ** **
12,right,6,1,4,0,enc,False,0.0,None,3,1,134 122
13,right,None,1,4,1,ret,True,0.5,acc,3,1,*** ***
14,right,6,1,4,0,enc,False,0.0,None,2,1,42 14 42
15,right,None,1,4,1,ret,True,0.5,acc,2,1,** ** **
16,right,6,1,4,0,enc,False,0.0,None,3,1,211 231
17,right,None,1,4,1,ret,True,0.5,acc,3,1,*** ***
18,right,6,1,4,0,enc,False,0.0,None,3,0,322 313
19,right,None,1,4,1,ret,True,0.5,acc,3,0,*** ***
20,right,6,1,4,0,enc,False,0.0,None,2,0,32 14 31
21,right,None,1,4,1,ret,True,0.5,acc,2,0,** ** **
22,right,6,1,4,0,enc,False,0.0,None,2,1,22 22 34
23,right,None,1,4,1,ret,True,0.5,acc,2,1,** ** **
24,right,6,1,4,0,enc,False,0.0,None,2,0,34 43 11
25,right,None,1,4,1,ret,True,0.5,acc,2,0,** ** **
26,right,6,1,4,0,enc,False,0.0,None,3,1,121 144
27,right,None,1,4,1,ret,True,0.5,acc,3,1,*** ***
28,right,6,1,4,0,enc,False,0.0,None,2,1,23 22 32
29,right,None,1,4,1,ret,True,0.5,acc,2,1,** ** **
30,right,6,1,4,0,enc,False,0.0,None,2,0,33 24 22
31,right,None,1,4,1,ret,True,0.5,acc,2,0,** ** **
32,right,6,1,4,0,enc,False,0.0,None,3,1,131 414
33,right,None,1,4,1,ret,True,0.5,acc,3,1,*** ***
34,right,6,1,4,0,enc,False,0.0,None,3,0,432 422
35,right,None,1,4,1,ret,True,0.5,acc,3,0,*** ***
36,right,6,1,4,0,enc,False,0.0,None,3,1,341 414
37,right,None,1,4,1,ret,True,0.5,acc,3,1,*** ***
38,right,6,1,4,0,enc,False,0.0,None,2,1,22 14 22
39,right,None,1,4,1,ret,True,0.5,acc,2,1,** ** **
